Title,Author,Votes,Genre
Still Me,Jojo Moyes,55300,Fiction
An American Marriage,Tayari Jones,41826,Fiction
Us Against You,Fredrik Backman,38981,Fiction
Nine Perfect Strangers,Liane Moriarty,31447,Fiction
An Absolutely Remarkable Thing,Hank Green,24363,Fiction
Killing Commendatore,Haruki Murakami,23695,Fiction
There There,Tommy Orange,18614,Fiction
Girls Burn Brighter,Shobha Rao,17854,Fiction
All We Ever Wanted,Emily Giffin,17490,Fiction
Every Note Played,Lisa Genova,15427,Fiction
The Female Persuasion,Meg Wolitzer,7343,Fiction
A Place for Us,Fatima Farheen Mirza,6839,Fiction
A Spark of Light,Jodi Picoult,5554,Fiction
My Year of Rest and Relaxation,Ottessa Moshfegh,5045,Fiction
Everything Here Is Beautiful,Mira T. Lee,4405,Fiction
The Overstory,Richard Powers,4239,Fiction
"You Think It, I'll Say It",Curtis Sittenfeld,3126,Fiction
How to Walk Away,Katherine Center,1973,Fiction
The Book of Essie,Meghan MacLean Weir,1641,Fiction
The Mars Room,Rachel Kushner,1352,Fiction
